r10d1 l1563896
r68d2 l553478
r55d2 l314718
r7d1 l1745588
r50d1 l1206248
r28d2 l128257
r42d1 l977849
r45d1 l1185471
r8d1 l1702823
r11d2 l1794643
r62d2 l698619
r63d2 l1338466
r5d1 l1638567
r18d2 l1432856
r69d1 l220872
r47d2 l1122939
r39d2 l754094
r66d2 l652104
r5d1 l1642095
r66d2 l599757
r14d2 l1893599
r38d2 l787907
r59d2 l256525
r39d2 l750571
r63d2 l1312534
r11d1 l1823269
r34d1 l866868
r28d1 l158082
r19d2 l1465388
r25d1 l75905
r8d2 l1602943
r54d1 l373504
r42d2 l961390
r18d2 l1441339
r69d1 l207066
r47d2 l1113120
r25d1 l89524
r66d1 l619574
r55d1 l434497
r8d1 l1701861
r14d2 l1548633
r7d1 l1754448
r29d1 l179369
r8d1 l1725864
r18d1 l1420918
r13d1 l1512233
r68d2 l552256
r28d1 l145050
r22d2 l1950682
r29d2 l1357598
r25d1 l100617
r22d2 l1985109
r50d2 l1278858
r18d1 l1425035
r34d2 l892742
r57d1 l480871
r35d2 l835122
r63d2 l1311713
r29d2 l1355493
r5d2 l1617727
r55d1 l418284
r58d1 l281071
r42d2 l1053103
r13d1 l1511892
r57d1 l460616
r54d1 l363316
r62d1 l732779
r25d1 l97273
r58d2 l440079
r21d2 l1938644
r29d2 l558927
r14d2 l1548264
r68d2 l532846
r26d2 l18890
r54d1 l372909
r54d1 l366934
r18d1 l1414313
r42d2 l1059274
r66d1 l615885
r50d2 l1282323
r45d1 l1177332
r57d1 l458079
r54d2 l397055
r38d1 l821054
r57d1 l468705
r58d1 l296701
r45d2 l1111254
r69d1 l201812
r5d2 l1690670
r35d2 l930478
r18d1 l1415407
r29d1 l9800
r8d1 l1708423
r22d1 l1974846
r7d1 l1760622
r8d1 l1709341
r66d1 l619994
r55d2 l399183
r49d2 l1246605
r68d2 l526585
r14d2 l1488362
r28d2 l128164
r26d1 l25244
r55d2 l398275
r7d2 l1762669
r29d1 l175421
r28d2 l133383
r21d2 l1942959
r58d2 l301200
r19d2 l1472251
r69d2 l503749
r42d1 l993328
r19d1 l1376533
r38d2 l826498
r34d2 l888849
r57d1 l493000
r41d2 l1003904
r22d1 l1965690
r11d2 l1793670
r47d1 l1135396
r59d1 l235471
r68d2 l543472
r68d2 l556403
r63d2 l1333453
r49d1 l1260291
r18d1 l1431007
r5d1 l1627173
r46d1 l1095535
r69d2 l502753
r10d1 l1579935
r39d1 l779877
r39d1 l758404
r29d2 l1356300
r38d1 l803761
r19d1 l1400947
r47d2 l1112759
r35d2 l937126
r25d2 l119500
r11d1 l1851848
r28d2 l134362
r28d1 l160026
r49d2 l1265474
r38d2 l794501
r35d2 l927678
r26d2 l64908
r21d2 l1939066
r18d2 l1451745
r69d1 l218103
r47d1 l1136660
r25d1 l103220
r38d2 l826803
r25d1 l84108
r68d2 l527988
r13d1 l1519593
r38d1 l816494
r49d2 l1243454
r11d1 l1818698
r11d1 l1844427
r63d2 l1311363
r62d1 l733916
r62d1 l733913
r13d2 l1547445
r26d1 l26023
r69d2 l510539
r69d2 l507934
r11d2 l1784953
r18d1 l1420469
r22d2 l1997395
r7d1 l1759883
r54d2 l350778
r46d1 l1074952
r42d2 l964423
r66d1 l619744
r26d2 l59334
r59d1 l245105
r25d2 l119173
r25d2 l119171
r26d2 l70106
r47d2 l1128231
r46d1 l1080005
r34d2 l895651
r7d1 l1739253
r42d2 l1054131
r68d2 l531357
r35d2 l896874
r62d2 l706609
r66d1 l632079
r5d2 l1610382
r7d1 l1742296
r18d2 l1450486
r42d1 l976837
r59d1 l236812
r8d1 l1716952
r10d1 l1564606
r47d1 l1138884
r54d2 l395544
r38d2 l823812
r13d1 l1521879
r58d2 l307207
r41d2 l1041111
r29d1 l188182
r4d1 l1675334
